"91","24094","ANIL NOTE BOOK","33023540435",,"30 BALAKARAI MAIN ROAD",,"TRICHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"92","24096","SRI GOMA STORE","33AJDPG3947J1Z9",,"SOUTH BAZAAR",,"KOVILPATTY    ",NULL,,,NULL,NULL,NULL,NULL
"93","24097","VARADHAMAN STATIONERY POI","29AONPM7891J1ZX",,"NO;533, B.T.GALLI",,"DAVANGERE","577001","577001",,NULL,NULL,NULL,NULL
"94","24098","RADHA KRISHNA STORES","33AAAFR5267N1ZW",,"31,32 LONG BAZAAR",,"VELLORE",NULL,,,NULL,NULL,NULL,NULL
"95","24099","KALVI ULAGAM","33733124448",,"OPP; NAMAKKAL MUNICIPAL OFFICE",,"NAMAKKAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"96","24100","SRI LAKSHMI STATIONERIES","33172741994",,"24/9-B LONGLY ROAD","SHEVAPET,","SALEM","636002",NULL,NULL,NULL,NULL,NULL,NULL
"97","24101","SHYAMALA I STORE","33BEVPS9257P1Z6",,"1/1, NAINARKULAM STREET",,"TIRUNELVELI _TOWN",NULL,,,NULL,NULL,NULL,NULL
"98","24102","KUMARAN STORES","33AIJPK2210P1ZB",,"111 BALAMORE ROAD",,"NAGERCOIL",NULL,,,NULL,NULL,NULL,NULL
"99","24103","SRI RAGAVANDARA STORE","33ECAPS0206L1ZT",,"19 A, NADU KALLU KARA STREET",,"TRICHY",NULL,,,NULL,"0",NULL,NULL
"100","24104","SENTHIL AGENCIES","33184381531",,"Suba Govindam Complex,krishnal","Theatre Inside-Upstairs  ","CUDDALORE","607002",NULL,NULL,NULL,NULL,NULL,NULL
"101","24105","ARUNAGIRI PAPER STORES","33225684898",,"MAIN ROAD",,"ALANGULAM {NELLAI DIST}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"102","24106","ANIRUDH PAPERS","33AAJFA1267A1Z3",,"16,RAJ BUILDING,PATTAMANGALA S",,"MAYILADUTHURAI",NULL,,,NULL,NULL,NULL,NULL
"103","24107","RAMESH TRADING COMPANY","33630221390",,"9,NARAYANA MUDALI STREET","SOWCARPET,","CHENNA","79",NULL,NULL,NULL,NULL,NULL,NULL
"104","24109","MANOJ PAPER MART","33AMCPM3003B1Z0",,"THENGAIPATTINAM ROAD",,"KARINGAL",NULL,,,NULL,NULL,NULL,NULL
"105","24110","STAR STATIONERY","33GNLPS3155L1ZF",,"42 BUNDER STREET",,"CHENNAI1",NULL,,,NULL,NULL,NULL,NULL
"106","24111","PARK AVENUE & STATIONERY","33AVGPS5241L1ZB",,"646 JAWAKAR BAZAAR",,"KARUR",NULL,,,NULL,NULL,NULL,NULL
"107","24112","SRI EAGLE BOOK SHOP","33ADAFS4088FIZ5",,"138 SOUTH BAZAAR",,"KOVILPATTY",NULL,,,NULL,"0",NULL,NULL
"108","24113","ANANDHA EMPORIUM","33ANFPA5983N1ZP",,"255 GANDHI ROAD",,"CHEYYAR",NULL,,,NULL,NULL,NULL,NULL
"109","24114","KEERTHIGA PAPER STORES","33AFSPR6196K1ZJ",,"27/11 NADU EAST STREET",,"NAGAPATTINAM",NULL,,,NULL,NULL,NULL,NULL
"110","24115","MALLIGA AGENCIES","33GBHPS4146D1Z0",,"AMMAN SANNATHI",,"TENKASI",NULL,,,NULL,NULL,NULL,NULL
"111","24116","SRINIVASA POULTRY","33ABKFS8367BIZ1",,"RATINASABAPATHI PURAM","MAHALINGAPURAM POST","POLLACHI",NULL,,,NULL,NULL,NULL,NULL
"112","24117","MAHENDRA TRADING COMPANY","33AZHPL5431E1Z0",,"BANGALORE ROAD","PUDUPET,","KRISNAGIRI",NULL,,,NULL,"0",NULL,NULL
"113","24118","SRI SAIRAM TRADING","33ACZFS2063E1ZX",,"60C MELA RATHA VEETHI",,"TEHKASI",NULL,,,NULL,NULL,NULL,NULL
"114","24119","RAM ENTERPRISES","33AQKPR9210K1ZJ",,"151,N R,K.R.ROAD",,"SIVAKASI",NULL,,,NULL,"0",NULL,NULL
"115","24120","SAKTHI BOOK CENTRE","33BOYPG5163D1ZU",,"315 MAIN ROAD",,"KOVILPATTY",NULL,,,NULL,NULL,NULL,NULL
"116","24121","SENTHIL PAPER STORES","33ACHPL5759N1Z1",,"KRISHNALAYA THEATRE ROAD","CUDDALORE","CUDDALORE",NULL,,,NULL,NULL,NULL,NULL
"117","24033","ANAKUNNATH NOTE BOOKS","32AFCPK6679N1ZY","32010609475-C","GANDHARI AMMAN KOVIL JUNCTION","PUTHANCHANTHAI ","TRIVANDRUM",NULL,,,NULL,NULL,NULL,NULL
"118","24122","LAKSHMI STATIONERY","33BBYPM1539G1ZD",,"1216MURUGANANTHAPURAM NORTH","OPP;NEW BUSSTAND","KARUR",NULL,,,NULL,NULL,NULL,NULL
"119","24123","RAMDEV NOTE BOOK","33326298853",,"895 R.G.STREET",,"COIMBATORE",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"120","24124","ARUNA STORE BOOK SHOP","33AAKFA1541QIZC",,"7,BIG BAZAAR",,"RAMANATHAPURAM-",NULL,,,NULL,NULL,NULL,NULL
"121","24125","LAKSHMI PAPER STORE","33785420071",,"4\\317 GANDHI ROAD",,"PARAMAGUDI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
